"FileName","FullPath","Width","Height","SAR","DAR","FPS","FrameRateRaw","FieldOrder","VideoCodec","PixelFormat","ColorSpace","ColorPrimaries","ColorTransfer","VideoKbps","TotalKbps","AudioCodec","AudioChannels","AudioSampleRate","DurationSeconds","SizeMB","Candidate","Decision","Reason"
"10-孤星淚-內心掙扎的馬特尼路.mp4","C:\Users\Synice\Downloads\孤星淚\10-孤星淚-內心掙扎的馬特尼路.mp4","1920","1080",,,"24.999","34639000/1385603","progressive","h264","yuv420p",,,,"748","882","aac","2","44100","1385.6","145.7","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"11-孤星淚-珊培麗絲的謊言.mp4","C:\Users\Synice\Downloads\孤星淚\11-孤星淚-珊培麗絲的謊言.mp4","1920","1080",,,"24.999","34651000/1386073","progressive","h264","yuv420p",,,,"701","835","aac","2","44100","1386.07","138.05","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"12-孤星淚-孤單的科絲迪.mp4","C:\Users\Synice\Downloads\孤星淚\12-孤星淚-孤單的科絲迪.mp4","1920","1080",,,"25","17341500/693673","progressive","h264","yuv420p",,,,"868","1002","aac","2","44100","1387.35","165.75","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"13-孤星淚-鏘·巴路鏘與科絲迪.mp4","C:\Users\Synice\Downloads\孤星淚\13-孤星淚-鏘·巴路鏘與科絲迪.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"708","842","aac","2","44100","1388.08","139.35","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"14-孤星淚-兩個人的旅程.mp4","C:\Users\Synice\Downloads\孤星淚\14-孤星淚-兩個人的旅程.mp4","1920","1080",,,"24.999","34713000/1388551","progressive","h264","yuv420p",,,,"796","931","aac","2","44100","1388.55","154.05","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"15-孤星淚-兩人的情意結.mp4","C:\Users\Synice\Downloads\孤星淚\15-孤星淚-兩人的情意結.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"950","1084","aac","2","44100","1388","179.39","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"16-孤星淚-巴黎的哥爾波大屋.mp4","C:\Users\Synice\Downloads\孤星淚\16-孤星淚-巴黎的哥爾波大屋.mp4","1920","1080",,,"25","1577500/63101","progressive","h264","yuv420p",,,,"851","985","aac","2","44100","1388.25","162.99","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"17-孤星淚-追蹤而至的薩比盧.mp4","C:\Users\Synice\Downloads\孤星淚\17-孤星淚-追蹤而至的薩比盧.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"736","871","aac","2","44100","1387.92","144.08","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"18-孤星淚-重遇忘卻了的人.mp4","C:\Users\Synice\Downloads\孤星淚\18-孤星淚-重遇忘卻了的人.mp4","1920","1080",,,"25","17316500/692671","progressive","h264","yuv420p",,,,"665","800","aac","2","44100","1385.39","132.09","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"19-孤星淚-被託管的科絲迪.mp4","C:\Users\Synice\Downloads\孤星淚\19-孤星淚-被託管的科絲迪.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"754","889","aac","2","44100","1388.04","147.02","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"1-孤星淚-科絲迪與法天妮.mp4","C:\Users\Synice\Downloads\孤星淚\1-孤星淚-科絲迪與法天妮.mp4","1920","1080",,,"24.999","34465000/1378657","progressive","h264","yuv420p",,,,"758","892","aac","2","44100","1378.66","146.59","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
